trip_id,route_id,service_id,trip_headsign,direction_id
34274,MB,invvv-15.pex,Kabiezes,0
34275,MB,invvv-15.pex,Basauri,1
34276,MB,invvv-15.pex,Kabiezes,0
34277,MB,invvv-15.pex,Basauri,1
34278,MB,invvv-15.pex,Kabiezes,0
34279,MB,invvv-15.pex,Basauri,1
34280,MB,invvv-15.pex,Etxebarri,1
34281,MB,invvv-15.pex,Larrabasterra,0
34282,MB,invvv-15.pex,Sopela,0
34283,MB,invvv-15.pex,Sopela,0
34284,MB,invvv-15.pex,Etxebarri,1
34285,MB,invvv-15.pex,Basauri,1
34286,MB,invvv-15.pex,Kabiezes,0
34287,MB,invvv-15.pex,Basauri,1
34288,MB,invvv-15.pex,Kabiezes,0
34289,MB,invvv-15.pex,Basauri,1
34290,MB,invvv-15.pex,Kabiezes,0
34291,MB,invvv-15.pex,Basauri,1
34292,MB,invvv-15.pex,Kabiezes,0
34293,MB,invvv-15.pex,Basauri,1
34294,MB,invvv-15.pex,Kabiezes,0
34295,MB,invvv-15.pex,Basauri,1
34296,MB,invvv-15.pex,Kabiezes,0
34297,MB,invvv-15.pex,Basauri,1
34298,MB,invvv-15.pex,Kabiezes,0
34299,MB,invvv-15.pex,Basauri,1
34300,MB,invvv-15.pex,Kabiezes,0
34301,MB,invvv-15.pex,Basauri,1
34302,MB,invvv-15.pex,Kabiezes,0
34303,MB,invvv-15.pex,Basauri,1
34304,MB,invvv-15.pex,Kabiezes,0
34305,MB,invvv-15.pex,Basauri,1
34306,MB,invvv-15.pex,Kabiezes,0
34307,MB,invvv-15.pex,Basauri,1
34308,MB,invvv-15.pex,Kabiezes,0
34309,MB,invvv-15.pex,Basauri,1
34310,MB,invvv-15.pex,Etxebarri,1
34311,MB,invvv-15.pex,Larrabasterra,0
34312,MB,invvv-15.pex,Etxebarri,1
34313,MB,invvv-15.pex,Larrabasterra,0
34314,MB,invvv-15.pex,Sopela,0
34315,MB,invvv-15.pex,Etxebarri,1
34316,MB,invvv-15.pex,Sopela,0
34317,MB,invvv-15.pex,Sopela,0
34318,MB,invvv-15.pex,Etxebarri,1
34319,MB,invvv-15.pex,Sopela,0
34320,MB,invvv-15.pex,Etxebarri,1
