trip_id,stop_sequence,arrival_time,departure_time,stop_id
22416,13,07:31:26,07:31:41,16.0
22786,18,07:31:28,07:31:53,11.0
23013,4,07:31:28,07:31:53,5.0
22597,4,07:31:31,07:31:46,39.0
22590,1,07:31:46,07:31:56,28.0
22934,16,07:31:48,07:32:03,33.0
22698,25,07:31:50,07:32:15,4.0
22423,16,07:32:00,07:32:15,17.0
22923,16,07:32:03,07:32:28,9.0
22871,10,07:32:06,07:32:31,19.0
22742,8,07:32:07,07:32:32,7.0
22880,11,07:32:11,07:32:36,32.0
22480,13,07:32:13,07:32:38,12.0
22664,11,07:32:14,07:32:39,12.0
22521,1,07:32:17,07:32:32,2.0
22954,23,07:32:18,07:32:33,40.0
22721,23,07:32:20,07:32:35,2.0
22849,8,07:32:25,07:32:50,9.0
22986,22,07:32:28,07:32:53,7.0
22789,2,07:32:33,07:32:43,1.0
22409,7,07:32:33,07:32:48,22.0
22901,5,07:32:41,07:33:06,4.0
22438,8,07:32:44,07:33:04,35.0
22720,18,07:32:48,07:33:08,37.0
22510,23,07:32:54,07:33:14,24.0
22597,5,07:32:57,07:33:12,38.0
22822,16,07:32:58,07:33:23,13.0
22640,12,07:33:00,07:33:25,11.0
22620,20,07:33:04,07:33:29,5.0
22934,17,07:33:15,07:33:40,34.0
23013,5,07:33:15,07:33:40,6.0
22530,26,07:23:22,07:23:37,3.0
22555,9,07:23:22,07:23:47,8.0
22413,20,07:23:25,07:23:40,21.0
22438,2,07:23:26,07:23:41,41.0
22591,26,07:23:27,07:23:42,27.0
22510,17,07:23:32,07:23:47,18.0
22786,14,07:23:36,07:23:56,15.0
22721,17,07:23:39,07:24:04,8.0
22788,29,07:23:43,07:23:53,51.0
22409,2,07:23:43,07:23:58,27.0
22762,9,07:23:44,07:24:09,10.0
22786,19,07:33:18,07:33:43,10.0
22762,14,07:33:22,07:33:42,15.0
22698,26,07:33:22,07:33:37,3.0
22742,9,07:33:22,07:33:47,8.0
22994,2,07:33:26,07:33:41,41.0
22413,26,07:33:27,07:33:42,27.0
22423,17,07:33:32,07:33:47,18.0
22416,14,07:33:36,07:33:56,15.0
22923,17,07:33:39,07:34:04,8.0
22590,2,07:33:43,07:33:58,27.0
22843,25,09:06:50,09:07:15,4.0
22764,16,09:07:00,09:07:15,17.0
22482,16,09:07:03,09:07:28,9.0
22391,7,09:07:06,09:07:31,19.0
22903,8,09:07:07,09:07:32,7.0
22440,11,09:07:11,09:07:36,32.0
22882,13,09:07:13,09:07:38,12.0
22851,11,09:07:14,09:07:39,12.0
23014,1,09:07:17,09:07:32,2.0
22702,23,09:07:18,09:07:33,40.0
22622,23,09:07:20,09:07:35,2.0
22665,8,09:07:25,09:07:50,9.0
22784,19,09:07:28,09:07:53,7.0
22535,2,09:07:33,09:07:43,1.0
22862,6,09:07:33,09:07:48,22.0
22791,5,09:07:41,09:08:06,4.0
22599,8,09:07:44,09:08:04,35.0
22936,20,09:07:48,09:08:08,37.0
22411,23,09:07:54,09:08:14,24.0
22996,5,09:07:57,09:08:12,38.0
22414,13,09:07:58,09:08:23,13.0
22744,12,09:08:00,09:08:25,11.0
22925,20,09:08:04,09:08:29,5.0
22557,17,09:08:15,09:08:40,34.0
22529,5,09:08:15,09:08:40,6.0
22976,18,09:08:18,09:08:43,10.0
22843,26,09:08:22,09:08:37,3.0
22425,14,09:08:22,09:08:42,15.0
22903,9,09:08:22,09:08:47,8.0
22511,20,09:08:25,09:08:40,21.0
22461,2,09:08:26,09:08:41,41.0
22682,26,09:08:27,09:08:42,27.0
22764,17,09:08:32,09:08:47,18.0
22825,14,09:08:36,09:08:56,15.0
22482,17,09:08:39,09:09:04,8.0
22775,2,09:08:43,09:08:58,27.0
22665,9,09:08:44,09:09:09,10.0
22851,12,09:08:46,09:09:16,13.0
22391,8,09:08:48,09:09:03,18.0
22862,7,09:08:52,09:09:07,21.0
22784,20,09:08:53,09:09:18,6.0
23014,2,09:08:55,09:09:10,3.0
22599,9,09:08:56,09:09:21,34.0
22791,6,09:08:58,09:09:23,5.0
22882,14,09:08:58,09:09:23,11.0
22702,24,09:08:59,09:09:09,41.0
22576,2,09:09:19,09:09:39,24.0
22925,21,09:09:20,09:09:45,4.0
