stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
9333,4108,San José Zahar - Egoitza / Asilo,,43.1852827397549,-3.05981638865273,,,0,
9334,4509,Trabakua,,43.2122894804364,-2.54350951856909,,,0,
9335,3182,Autzagane,,43.2433704110087,-2.71673396221697,,,0,
9336,4937,Alto Alday,,43.3044533871731,-3.02835369844856,,,0,
9337,4131,Kautela Gandia Goikoa,,43.4028189707648,-2.93959311026938,,,0,
9338,5158,Imitte,,43.1197142948079,-2.59425557348117,,,0,
9339,2999,Zumalakarregi 56 Santutxu,,43.2556975480541,-2.91094776504923,,,0,
9340,4244,Udaletxea / Ayuntamiento,,43.2097613719036,-3.09469135853648,,,0,
9344,5547,Arriagane Industrialdea,,43.2276792967136,-2.749279401755,,,0,
9345,4667,Atxuri,,43.3580431310232,-2.85789196506318,,,0,
9346,3846,Olabe,,43.3781155127393,-2.57555976973905,,,0,
9347,4487,Urizar Pilotalekua / Frontón,,43.413701922946,-2.90264747759054,,,0,
9348,5319,Magdalenabidea Magdalena,,43.3258159239182,-2.95633202982299,,,0,
9349,0536,Sendeja,,43.2627294999099,-2.92313967729358,,,0,
9350,3597,Zubiaur´Tar Kepa Udal Azoka,,43.4197303694052,-2.72818766105823,,,0,
9352,4911,Primero De Mayo 53,,43.3006254608856,-3.03233429645632,,,0,
9353,5532,Loiola,,43.3048528883798,-2.64054405510793,,,0,
9354,1007,Txakolí,,43.2650151865651,-2.90827255903874,,,0,
9355,3268,Olatxu Bidetxe,,43.3275929862691,-2.76695996070423,,,0,
9356,4087,Azkarai,,43.1882473764262,-3.04534311701944,,,0,
9357,5527,San Roque,,43.3432873568209,-3.08787533396337,,,0,
9358,3116,Trañabarren,,43.1666516717063,-2.61101930871301,,,0,
9359,4000,Soietxe,,43.3352773965943,-2.80219909129466,,,0,
9360,3293,Severo Ochoa 13 Caja Laboral,,43.2070240109792,-2.88668241675693,,,0,
9361,5283,Altzaga Pasaia / Pasaje,,43.3026893425,-2.97708708842483,,,0,
9362,4183,Algortako Etorb. 17 Txomintxu,,43.3415822149554,-3.00945699023017,,,0,
9363,3415,La Llana,,43.0993724152589,-3.04973144932428,,,0,
9364,1051,Moyua Plaza Ogasuna / Hacienda,,43.262647589543,-2.93542743487953,,,0,
9365,4243,Udaletxea / Ayuntamiento,,43.2107422857481,-3.09541921542989,,,0,
9366,4504,Eliza,,43.3628921747014,-2.50271583116662,,,0,
9367,4147,Salsidu Getxo I,,43.3534955447504,-3.00399212550905,,,0,
9368,0378,Zumalakarregi 121 Begoña,,43.2603553663874,-2.91408278838193,,,0,
9369,3817,Makaztui,,43.0942125469695,-2.71640363921193,,,0,
9370,3410,Inzier,,43.1338305780971,-3.03431547835573,,,0,
9371,0438,Campo Volantín Funikularra,,43.267226329756,-2.92767672747892,,,0,
9372,3126,Las Carreras Ambrosio De Los Heros 20,,43.3184603903939,-3.0953260300647,,,0,
9373,3118,Astola,,43.161133801516,-2.61163257897629,,,0,
9374,9022,Ametza,,43.3632455748254,-2.80763680464611,,,0,
9375,4044,Gorordo,,43.3692655032178,-2.88411888753295,,,0,
9376,4065,Errekalde,,43.345339905887,-2.6531605754981,,,0,
9377,5018,Geltokia / Estación,,43.3118606939707,-3.06101023645887,,,0,
9378,4799,Korostondo,,43.0508184674333,-2.6608217098688,,,0,
9379,4584,Bidebieta,,43.3735034552669,-2.80087200380651,,,0,
9380,3624,Erribera,,43.309090966896,-2.46888831927193,,,0,
9381,1057,Santa Ana Galdetegia / Fundición,,43.2468344628999,-2.9077211391439,,,0,
9382,5534,Zubiate,,43.3083333692055,-2.6434865655526,,,0,
9383,4374,Zugatzarte,,43.357587151444,-2.91493086788863,,,0,
9384,3340,Burtzeña Batzokia,,43.2793407053659,-2.97901911487483,,,0,
9385,0150,Deustuko Unibertsitatea Pío X Plaza,,43.2709800351522,-2.94122742945984,,,0,
9386,1061,Zorrotza Fray Juan 8,,43.2766736373586,-2.97160090990979,,,0,
9387,5286,Lutxana,,43.2911620215125,-2.9712609696162,,,0,
9388,3908,Gipuzkoa Etorbidea 1,,43.1845734461088,-2.50067151785928,,,0,
9389,4193,Avda. Del Angel 47 La Venta,,43.3615716361943,-3.01606231577052,,,0,
9390,3490,Gernikako Arbola 73,,43.2939843499826,-2.99962561027534,,,0,
9391,5099,La Jara,,43.2741512811972,-3.1482497247601,,,0,
9392,4074,Artekona,,43.1504191317308,-3.10592460916349,,,0,
9393,5554,Ugaran,,43.3475536268706,-2.50387774176814,,,0,
9394,4181,Algortako Etorb. 47 Kasinoa,,43.3481914473827,-3.0106423966828,,,0,
9395,5280,Udondoko Dartsena,,43.3149736124544,-2.99051667726694,,,0,
9396,3782,Udaletxea / Ayuntamiento,,43.1477064303305,-2.84887160017184,,,0,
9397,3656,Itxas Begi,,43.3919799140601,-2.69477158715795,,,0,
9398,3148,Los Heros,,43.3289261966572,-3.07339862908183,,,0,
9399,4158,Zientoetxe 45 Moreaga,,43.3738543158411,-3.0107945148431,,,0,
9400,3794,Aresandiaga,,43.1734856945654,-2.90117676833933,,,0,
9401,2200,Termibus 11. Nasa / Andén 11,,43.2610788212446,-2.94923351376399,,,0,
9402,3469,Buen Pastor,,43.2903347968758,-2.97652506000379,,,0,
9403,5428,Domartiena,,43.2861668833026,-2.87097868156982,,,0,
9404,4331,Kortazar,,43.3608234465767,-2.53979285081949,,,0,
9405,4772,Nesilla,,43.3062390537168,-3.12148420847742,,,0,
