route_id,service_id,trip_id,direction_id,block_id,shape_id
795,100319,100319,1,,
795,100320,100320,1,,
795,100321,100321,1,,
795,100322,100322,1,,
795,185060,185060,0,,
795,185061,185061,0,,
795,185062,185062,0,,
795,185063,185063,0,,
795,185064,185064,0,,
795,185065,185065,0,,
795,185066,185066,0,,
795,185067,185067,0,,
795,185068,185068,0,,
795,185069,185069,0,,
795,185070,185070,0,,
795,185071,185071,0,,
795,185072,185072,1,,
795,185073,185073,1,,
795,185074,185074,1,,
795,185075,185075,1,,
795,185076,185076,1,,
795,185077,185077,1,,
795,185078,185078,1,,
795,185079,185079,1,,
795,185080,185080,1,,
795,185081,185081,0,,
795,185082,185082,0,,
795,185083,185083,0,,
795,185084,185084,0,,
795,185085,185085,0,,
795,185086,185086,0,,
795,185087,185087,0,,
795,185088,185088,0,,
795,185089,185089,0,,
795,185090,185090,0,,
795,185091,185091,0,,
795,185092,185092,0,,
795,185093,185093,1,,
795,185094,185094,1,,
795,185095,185095,1,,
795,185096,185096,1,,
795,185097,185097,1,,
795,185098,185098,1,,
795,185099,185099,1,,
795,185100,185100,1,,
795,185101,185101,1,,
796,100415,100415,1,,
796,100416,100416,1,,
796,100417,100417,1,,
796,100418,100418,1,,
796,100419,100419,1,,
796,100420,100420,1,,
796,101523,101523,0,,
796,101524,101524,0,,
796,101619,101619,0,,
796,101620,101620,0,,
796,101621,101621,0,,
796,101622,101622,0,,
796,101623,101623,0,,
796,101624,101624,0,,
797,100059,100059,1,,
797,100060,100060,1,,
797,101420,101420,0,,
797,101421,101421,0,,
798,99812,99812,1,,
798,99813,99813,1,,
798,99814,99814,1,,
798,99815,99815,1,,
798,100695,100695,0,,
798,100696,100696,0,,
798,100697,100697,0,,
798,100698,100698,0,,
799,99741,99741,1,,
799,101122,101122,0,,
800,99972,99972,1,,
800,99973,99973,1,,
800,101063,101063,0,,
800,101064,101064,0,,
800,101065,101065,0,,
800,101066,101066,0,,
800,101067,101067,0,,
801,99740,99740,1,,
801,101120,101120,0,,
801,101121,101121,0,,
801,103793,103793,0,,
801,103794,103794,0,,
801,103795,103795,0,,
801,103954,103954,0,,
801,103955,103955,0,,
801,103956,103956,0,,
801,103957,103957,0,,
801,103958,103958,0,,
801,103959,103959,0,,
801,103960,103960,0,,
801,103961,103961,0,,
801,103962,103962,0,,
801,103963,103963,0,,
801,103964,103964,0,,
802,99677,99677,1,,
802,99678,99678,1,,
802,99679,99679,1,,
802,99680,99680,1,,
802,99681,99681,1,,
802,103940,103940,0,,
802,103941,103941,0,,
802,103942,103942,0,,
802,103943,103943,0,,
802,103944,103944,0,,
803,100279,100279,1,,
803,100280,100280,1,,
803,100281,100281,1,,
803,100282,100282,1,,
803,100283,100283,1,,
803,100284,100284,1,,
803,100285,100285,1,,
803,100286,100286,1,,
803,101180,101180,0,,
803,101181,101181,0,,
803,101182,101182,0,,
803,101183,101183,0,,
803,101184,101184,0,,
803,101185,101185,0,,
803,101186,101186,0,,
803,101871,101871,0,,
803,101872,101872,0,,
804,99705,99705,1,,
804,99706,99706,1,,
804,99733,99733,1,,
804,99734,99734,1,,
804,101108,101108,0,,
