service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99553,0,0,0,0,0,0,1,20140506,20151231
99554,1,1,1,1,1,1,0,20140506,20151231
99555,0,0,0,0,0,0,1,20140506,20151231
99558,1,1,1,1,1,1,0,20140506,20151231
99559,0,0,0,0,0,0,1,20140506,20151231
99560,1,1,1,1,1,1,0,20140506,20151231
99561,0,0,0,0,0,0,1,20140506,20151231
99562,1,1,1,1,1,1,0,20140506,20151231
99563,0,0,0,0,0,0,1,20140506,20151231
99564,1,1,1,1,1,1,0,20140506,20151231
99565,1,1,1,1,1,1,0,20140506,20151231
99566,1,1,1,1,1,1,0,20140506,20151231
99567,1,1,1,1,1,1,0,20140506,20151231
99568,0,0,0,0,0,0,1,20140506,20151231
99569,0,0,0,0,0,0,1,20140506,20151231
99570,0,0,0,0,0,0,1,20140506,20151231
99571,0,0,0,0,0,0,1,20140506,20151231
99572,1,1,1,1,1,1,0,20140506,20151231
99573,1,1,1,1,1,1,0,20140506,20151231
99574,1,1,1,1,1,1,0,20140506,20151231
99575,1,1,1,1,1,1,0,20140506,20151231
99576,1,1,1,1,1,0,0,20140506,20151231
99577,1,1,1,1,1,0,0,20140506,20151231
99578,1,1,1,1,1,0,0,20140506,20151231
99579,1,1,1,1,1,0,0,20140506,20151231
99580,1,1,1,1,1,0,0,20140506,20151231
99581,1,1,1,1,1,0,0,20140506,20151231
99582,1,1,1,1,1,0,0,20140506,20151231
99583,1,1,1,1,1,0,0,20140506,20151231
99584,1,1,1,1,1,0,0,20140506,20151231
99585,1,1,1,1,1,0,0,20140506,20151231
99586,1,1,1,1,1,0,0,20140506,20151231
99587,1,1,1,1,1,0,0,20140506,20151231
99588,1,1,1,1,1,0,0,20140506,20151231
99589,1,1,1,1,1,0,0,20140506,20151231
99590,1,1,1,1,1,0,0,20140506,20151231
99591,1,1,1,1,1,0,0,20140506,20151231
99592,1,1,1,1,1,0,0,20140506,20151231
99593,1,1,1,1,1,0,0,20140506,20151231
99594,1,1,1,1,1,0,0,20140506,20151231
99595,1,1,1,1,1,0,0,20140506,20151231
99596,1,1,1,1,1,0,0,20140506,20151231
99597,1,1,1,1,1,0,0,20140506,20151231
99598,0,0,0,0,0,1,0,20140506,20151231
99599,0,0,0,0,0,0,1,20140506,20151231
99600,1,1,1,1,1,0,0,20140506,20151231
99601,1,1,1,1,1,0,0,20140506,20151231
99602,1,1,1,1,1,0,0,20140506,20151231
99603,1,1,1,1,1,0,0,20140506,20151231
99604,1,1,1,1,1,0,0,20140506,20151231
99605,1,1,1,1,1,0,0,20140506,20151231
99606,1,1,1,1,1,0,0,20140506,20151231
99607,1,1,1,1,1,0,0,20140506,20151231
99608,1,1,1,1,1,0,0,20140506,20151231
99609,1,1,1,1,1,0,0,20140506,20151231
99610,1,1,1,1,1,0,0,20140506,20151231
99611,1,1,1,1,1,0,0,20140506,20151231
99612,1,1,1,1,1,0,0,20140506,20151231
99613,1,1,1,1,1,0,0,20140506,20151231
99614,1,1,1,1,1,0,0,20140506,20151231
99615,1,1,1,1,1,0,0,20140506,20151231
99616,1,1,1,1,1,0,0,20140506,20151231
99617,1,1,1,1,1,0,0,20140506,20151231
99618,1,1,1,1,1,0,0,20140506,20151231
99619,1,1,1,1,1,0,0,20140506,20151231
99620,1,1,1,1,1,0,0,20140506,20151231
99621,1,1,1,1,1,0,0,20140506,20151231
99622,1,1,1,1,1,0,0,20140506,20151231
99623,1,1,1,1,1,0,0,20140506,20151231
99624,1,1,1,1,1,0,0,20140506,20151231
99625,1,1,1,1,1,0,0,20140506,20151231
99626,1,1,1,1,1,0,0,20140506,20151231
99627,1,1,1,1,1,0,0,20140506,20151231
99628,0,0,0,0,0,1,0,20140506,20151231
99629,0,0,0,0,0,1,0,20140506,20151231
99630,0,0,0,0,0,1,0,20140506,20151231
99631,0,0,0,0,0,1,0,20140506,20151231
99632,0,0,0,0,0,1,0,20140506,20151231
99633,0,0,0,0,0,1,0,20140506,20151231
99634,1,1,1,1,1,0,0,20140506,20151231
99635,1,1,1,1,1,0,0,20140506,20151231
99636,1,1,1,1,1,0,0,20140506,20151231
99637,1,1,1,1,1,0,0,20140506,20151231
99638,1,1,1,1,1,0,0,20140506,20151231
99639,1,1,1,1,1,0,0,20140506,20151231
99640,1,1,1,1,1,0,0,20140506,20151231
99641,1,1,1,1,1,0,0,20140506,20151231
99642,1,1,1,1,1,0,0,20140506,20151231
99643,1,1,1,1,1,0,0,20140506,20151231
99644,1,1,1,1,1,0,0,20140506,20151231
99645,1,1,1,1,1,0,0,20140506,20151231
99646,1,1,1,1,1,0,0,20140506,20151231
99647,1,1,1,1,1,0,0,20140506,20151231
99648,1,1,1,1,0,0,0,20140506,20151231
99649,1,1,1,1,0,0,0,20140506,20151231
99650,1,1,1,1,0,0,0,20140506,20151231
99651,1,1,1,1,0,0,0,20140506,20151231
99652,1,1,1,1,0,0,0,20140506,20151231
99653,1,1,1,1,0,0,0,20140506,20151231
99654,1,1,1,1,0,0,0,20140506,20151231
99655,1,1,1,1,0,0,0,20140506,20151231
99656,1,1,1,1,0,0,0,20140506,20151231
99657,0,0,0,0,1,0,0,20140506,20151231
99658,0,0,0,0,1,0,0,20140506,20151231
99659,0,0,0,0,1,0,0,20140506,20151231
99660,0,0,0,0,1,0,0,20140506,20151231
99661,0,0,0,0,1,0,0,20140506,20151231
99662,0,0,0,0,1,0,0,20140506,20151231
99663,0,0,0,0,1,0,0,20140506,20151231
99664,0,0,0,0,1,0,0,20140506,20151231
99665,0,0,0,0,1,0,0,20140506,20151231
99666,0,0,0,0,1,0,0,20140506,20151231
99667,0,0,0,0,1,0,0,20140506,20151231
99668,0,0,0,0,1,0,0,20140506,20151231
99669,1,1,1,1,1,0,0,20140506,20151231
99670,1,1,1,1,1,0,0,20140506,20151231
99671,1,1,1,1,1,0,0,20140506,20151231
99672,1,1,1,1,1,0,0,20140506,20151231
99673,1,1,1,1,1,0,0,20140506,20151231
99674,1,1,1,1,1,0,0,20140506,20151231
99675,1,1,1,1,1,0,0,20140506,20151231
99676,1,1,1,1,1,0,0,20140506,20151231
99677,1,1,1,1,1,0,0,20140506,20151231
99678,1,1,1,1,1,0,0,20140506,20151231
99679,1,1,1,1,1,0,0,20140506,20151231
