service_id,date,exception_type
invvv-15.pex,20160617,2
invvvlargo-15.pex,20160617,1
invvv-15.pex,20160603,2
invvvlargo-15.pex,20160603,1
invsalargo-15.pex,20160528,2
invsa-15.pex,20160528,1
invsalargo-15.pex,20160625,2
invsa-15.pex,20160625,1
invvv-15.pex,20160610,2
invvvlargo-15.pex,20160610,1
invsalargo-15.pex,20160521,2
invsa-15.pex,20160521,1
