trip_id,stop_sequence,arrival_time,departure_time,stop_id
41392,9,14:54:09,14:54:34,34.0
41066,15,14:54:10,14:54:35,10.0
41479,3,14:54:15,14:54:40,4.0
41327,21,14:54:16,14:54:31,22.0
41212,11,14:54:18,14:54:43,12.0
41424,7,14:54:19,14:54:44,6.0
41002,3,14:54:21,14:54:36,2.0
41373,11,14:54:25,14:54:40,18.0
41153,14,14:54:34,14:54:54,15.0
41511,25,14:54:40,14:54:50,42.0
40982,12,14:54:50,14:55:15,13.0
40879,1,14:54:52,14:55:07,25.0
41267,25,14:54:58,14:55:13,26.0
40907,18,14:55:09,14:55:29,35.0
40957,23,14:55:14,14:55:29,3.0
41107,18,14:55:20,14:55:45,19.0
41029,22,14:55:20,14:55:45,7.0
41191,17,14:55:20,14:55:45,11.0
41533,7,14:55:22,14:55:37,21.0
41066,16,14:55:25,14:55:50,9.0
41134,20,14:55:26,14:55:51,5.0
40926,8,14:55:29,14:55:54,9.0
41453,2,14:55:29,14:55:44,41.0
41479,4,14:55:32,14:55:57,5.0
41340,22,14:55:33,14:55:48,39.0
41281,12,14:55:34,14:55:59,11.0
41227,6,14:55:35,14:55:55,37.0
41424,8,14:55:41,14:56:06,7.0
41184,1,14:55:45,14:55:55,28.0
40943,12,14:55:48,14:56:03,14.0
41212,12,14:55:50,14:56:20,13.0
41392,10,14:55:52,14:56:07,33.0
41327,22,14:55:53,14:56:18,23.0
41373,12,14:55:55,14:56:10,17.0
41002,4,14:55:59,14:56:14,3.0
41248,24,14:56:07,14:56:17,1.0
41086,1,14:56:17,14:56:32,51.0
41044,15,14:56:30,14:56:55,32.0
40982,13,14:56:35,14:57:00,12.0
41134,21,14:56:42,14:57:07,4.0
40957,24,14:56:42,14:56:57,2.0
40879,2,14:56:43,14:57:03,24.0
41029,23,14:56:45,14:57:10,6.0
40907,19,14:56:48,14:56:58,36.0
40926,9,14:56:48,14:57:13,10.0
41153,15,14:56:49,14:57:04,16.0
41424,9,14:56:56,14:57:21,8.0
41340,23,14:56:58,14:57:13,40.0
41066,17,14:57:01,14:57:26,8.0
41533,8,14:57:06,14:57:21,20.0
41373,13,14:57:07,14:57:22,16.0
41191,18,14:57:10,14:57:35,10.0
41107,19,14:57:13,14:57:28,20.0
41267,26,14:57:14,14:57:29,27.0
41002,5,14:57:15,14:57:40,4.0
41453,3,14:57:16,14:57:26,40.0
41281,13,14:57:18,14:57:43,12.0
41479,5,14:57:19,14:57:44,6.0
41301,1,14:57:21,14:57:36,2.0
41227,7,14:57:28,14:57:38,36.0
41392,11,14:57:29,14:57:54,32.0
41327,23,14:57:31,14:57:51,24.0
41248,25,14:57:40,14:57:50,51.0
41184,2,14:57:45,14:58:00,27.0
40943,13,14:57:50,14:58:15,13.0
41086,2,14:58:06,14:58:16,1.0
41134,22,14:58:14,14:58:29,3.0
40879,3,14:58:15,14:58:40,23.0
41153,16,14:58:19,14:58:34,17.0
40982,14,14:58:20,14:58:45,11.0
41066,18,14:58:20,14:58:45,7.0
41212,13,14:58:21,14:58:36,14.0
41044,16,14:58:24,14:58:39,33.0
41191,19,14:58:25,14:58:50,9.0
41029,24,14:58:26,14:58:51,5.0
40907,20,14:58:27,14:58:47,37.0
41424,10,14:58:29,14:58:54,9.0
41002,6,14:58:32,14:58:57,5.0
40926,10,14:58:34,14:58:59,11.0
41453,4,14:58:37,14:58:52,39.0
41340,24,14:58:40,14:58:50,41.0
41479,6,14:58:41,14:59:06,7.0
41533,9,14:58:41,14:59:06,19.0
41281,14,14:58:50,14:59:20,13.0
41107,20,14:58:55,14:59:10,21.0
41227,8,14:58:56,14:59:16,35.0
41301,2,14:58:59,14:59:14,3.0
41512,1,14:59:17,14:59:32,42.0
41267,27,14:59:19,14:59:34,28.0
41373,14,14:59:21,14:59:41,15.0
41327,24,14:59:26,14:59:41,25.0
40943,14,14:59:35,15:00:00,12.0
41134,23,14:59:42,14:59:57,2.0
41029,25,14:59:42,15:00:07,4.0
41066,19,14:59:45,15:00:10,6.0
41424,11,14:59:48,15:00:13,10.0
41044,17,14:59:52,15:00:17,34.0
41153,17,14:59:54,15:00:09,18.0
41479,7,14:59:56,15:00:21,8.0
40879,4,15:00:01,15:00:16,22.0
41191,20,15:00:01,15:00:26,8.0
41184,3,15:00:03,15:00:18,26.0
41453,5,15:00:04,15:00:19,38.0
40907,21,15:00:08,15:00:23,38.0
41227,9,15:00:09,15:00:34,34.0
40982,15,15:00:10,15:00:35,10.0
41301,3,15:00:15,15:00:40,4.0
41107,21,15:00:16,15:00:31,22.0
40926,11,15:00:18,15:00:43,12.0
41002,7,15:00:19,15:00:44,6.0
41086,3,15:00:21,15:00:36,2.0
41533,10,15:00:25,15:00:40,18.0
41212,14,15:00:34,15:00:54,15.0
41340,25,15:00:40,15:00:50,42.0
41392,12,15:00:50,15:01:15,13.0
41327,25,15:00:58,15:01:13,26.0
41044,18,15:01:09,15:01:29,35.0
41029,26,15:01:14,15:01:29,3.0
40943,15,15:01:20,15:01:45,11.0
41191,21,15:01:20,15:01:45,7.0
41153,18,15:01:20,15:01:45,19.0
40879,5,15:01:22,15:01:37,21.0
40982,16,15:01:25,15:01:50,9.0
41066,20,15:01:26,15:01:51,5.0
41479,8,15:01:29,15:01:54,9.0
41512,2,15:01:29,15:01:44,41.0
41301,4,15:01:32,15:01:57,5.0
40907,22,15:01:33,15:01:48,39.0
41424,12,15:01:34,15:01:59,11.0
41453,6,15:01:35,15:01:55,37.0
41184,4,15:01:39,15:01:54,25.0
41002,8,15:01:41,15:02:06,7.0
41373,15,15:01:48,15:02:03,14.0
40926,12,15:01:50,15:02:20,13.0
41227,10,15:01:52,15:02:07,33.0
41107,22,15:01:53,15:02:18,23.0
41533,11,15:01:55,15:02:10,17.0
41086,4,15:01:59,15:02:14,3.0
41134,24,15:02:07,15:02:17,1.0
40960,1,15:02:21,15:02:36,2.0
41281,15,15:02:30,15:02:55,32.0
41392,13,15:02:35,15:03:00,12.0
41029,27,15:02:42,15:02:57,2.0
41066,21,15:02:42,15:03:07,4.0
41191,22,15:02:45,15:03:10,6.0
41044,19,15:02:48,15:02:58,36.0
41479,9,15:02:48,15:03:13,10.0
41212,15,15:02:49,15:03:04,16.0
41002,9,15:02:56,15:03:21,8.0
40907,23,15:02:58,15:03:13,40.0
40982,17,15:03:01,15:03:26,8.0
40879,6,15:03:06,15:03:21,20.0
41533,12,15:03:07,15:03:22,16.0
40943,16,15:03:10,15:03:35,10.0
41153,19,15:03:13,15:03:28,20.0
41327,26,15:03:14,15:03:29,27.0
41086,5,15:03:15,15:03:40,4.0
41512,3,15:03:16,15:03:26,40.0
41424,13,15:03:18,15:03:43,12.0
41301,5,15:03:19,15:03:44,6.0
41453,7,15:03:28,15:03:38,36.0
41227,11,15:03:29,15:03:54,32.0
41249,1,15:03:30,15:03:45,51.0
41184,5,15:03:30,15:03:50,24.0
41107,23,15:03:31,15:03:51,24.0
41134,25,15:03:40,15:03:50,51.0
41373,16,15:03:50,15:04:15,13.0
40960,2,15:03:59,15:04:14,3.0
41066,22,15:04:14,15:04:29,3.0
41212,16,15:04:19,15:04:34,17.0
41392,14,15:04:20,15:04:45,11.0
40982,18,15:04:20,15:04:45,7.0
40926,13,15:04:21,15:04:36,14.0
41281,16,15:04:24,15:04:39,33.0
40943,17,15:04:25,15:04:50,9.0
41191,23,15:04:26,15:04:51,5.0
41044,20,15:04:27,15:04:47,37.0
41002,10,15:04:29,15:04:54,9.0
41086,6,15:04:32,15:04:57,5.0
41479,10,15:04:34,15:04:59,11.0
41512,4,15:04:37,15:04:52,39.0
40907,24,15:04:40,15:04:50,41.0
41301,6,15:04:41,15:05:06,7.0
40879,7,15:04:41,15:05:06,19.0
41424,14,15:04:50,15:05:20,13.0
41153,20,15:04:55,15:05:10,21.0
41453,8,15:04:56,15:05:16,35.0
41184,6,15:05:02,15:05:27,23.0
40960,3,15:05:15,15:05:40,4.0
41341,1,15:05:17,15:05:32,42.0
41327,27,15:05:19,15:05:34,28.0
41249,2,15:05:19,15:05:29,1.0
41533,13,15:05:21,15:05:41,15.0
41107,24,15:05:26,15:05:41,25.0
41373,17,15:05:35,15:06:00,12.0
41191,24,15:05:42,15:06:07,4.0
41066,23,15:05:42,15:05:57,2.0
40982,19,15:05:45,15:06:10,6.0
41002,11,15:05:48,15:06:13,10.0
41281,17,15:05:52,15:06:17,34.0
41212,17,15:05:54,15:06:09,18.0
41301,7,15:05:56,15:06:21,8.0
40943,18,15:06:01,15:06:26,8.0
41512,5,15:06:04,15:06:19,38.0
41044,21,15:06:08,15:06:23,38.0
41453,9,15:06:09,15:06:34,34.0
41392,15,15:06:10,15:06:35,10.0
41153,21,15:06:16,15:06:31,22.0
41479,11,15:06:18,15:06:43,12.0
41086,7,15:06:19,15:06:44,6.0
40879,8,15:06:25,15:06:40,18.0
40960,4,15:06:32,15:06:57,5.0
40926,14,15:06:34,15:06:54,15.0
40907,25,15:06:40,15:06:50,42.0
41184,7,15:06:48,15:07:03,22.0
40904,9,12:24:09,12:24:34,34.0
41508,15,12:24:10,12:24:35,10.0
40942,3,12:24:15,12:24:40,4.0
41018,21,12:24:16,12:24:31,22.0
41363,11,12:24:18,12:24:43,12.0
41063,7,12:24:19,12:24:44,6.0
40979,3,12:24:21,12:24:36,2.0
41102,8,12:24:25,12:24:40,18.0
40956,14,12:24:34,12:24:54,15.0
41420,25,12:24:40,12:24:50,42.0
41337,12,12:24:50,12:25:15,13.0
41476,3,12:24:52,12:25:07,25.0
41082,18,12:25:09,12:25:29,35.0
41265,25,12:25:14,12:25:29,3.0
40875,19,12:25:20,12:25:45,7.0
41193,18,12:25:20,12:25:45,19.0
41326,18,12:25:20,12:25:45,11.0
41211,8,12:25:22,12:25:37,21.0
41508,16,12:25:25,12:25:50,9.0
