trip_id,route_id,service_id,trip_headsign,direction_id
40976,MB,carnav-alg-sa-16.pex,Etxebarri,1
40977,MB,carnav-alg-sa-16.pex,Sopela,0
40978,MB,carnav-alg-sa-16.pex,Sopela,0
40979,MB,carnav-alg-sa-16.pex,Etxebarri,1
40980,MB,carnav-alg-sa-16.pex,Sopela,0
40981,MB,carnav-alg-sa-16.pex,Etxebarri,1
40982,MB,carnav-alg-sa-16.pex,Sopela,0
40983,MB,carnav-alg-sa-16.pex,Etxebarri,1
40984,MB,carnav-alg-sa-16.pex,Etxebarri,1
40985,MB,carnav-alg-sa-16.pex,Sopela,0
40986,MB,carnav-alg-sa-16.pex,Etxebarri,1
40987,MB,carnav-alg-sa-16.pex,Sopela,0
40988,MB,carnav-alg-sa-16.pex,Etxebarri,1
40989,MB,carnav-alg-sa-16.pex,Sopela,0
40990,MB,carnav-alg-sa-16.pex,Basauri,1
40992,MB,carnav-alg-sa-16.pex,Kabiezes,0
40993,MB,carnav-alg-sa-16.pex,Basauri,1
40994,MB,carnav-alg-sa-16.pex,Kabiezes,0
40995,MB,carnav-alg-sa-16.pex,Basauri,1
40996,MB,carnav-alg-sa-16.pex,Kabiezes,0
40997,MB,carnav-alg-sa-16.pex,Basauri,1
40998,MB,carnav-alg-sa-16.pex,Kabiezes,0
40999,MB,carnav-alg-sa-16.pex,Basauri,1
41000,MB,carnav-alg-sa-16.pex,Kabiezes,0
41001,MB,carnav-alg-sa-16.pex,Basauri,1
41002,MB,carnav-alg-sa-16.pex,Kabiezes,0
41003,MB,carnav-alg-sa-16.pex,Basauri,1
41004,MB,carnav-alg-sa-16.pex,Kabiezes,0
41005,MB,carnav-alg-sa-16.pex,Basauri,1
41006,MB,carnav-alg-sa-16.pex,Kabiezes,0
41007,MB,carnav-alg-sa-16.pex,Basauri,1
41008,MB,carnav-alg-sa-16.pex,Kabiezes,0
41009,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41010,MB,carnav-alg-sa-16.pex,Etxebarri,1
41011,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41012,MB,carnav-alg-sa-16.pex,Etxebarri,1
41013,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41014,MB,carnav-alg-sa-16.pex,Etxebarri,1
41015,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41016,MB,carnav-alg-sa-16.pex,Etxebarri,1
41017,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41018,MB,carnav-alg-sa-16.pex,Etxebarri,1
41019,MB,carnav-alg-sa-16.pex,Etxebarri,1
41020,MB,carnav-alg-sa-16.pex,Kabiezes,0
41021,MB,carnav-alg-sa-16.pex,Basauri,1
41022,MB,carnav-alg-sa-16.pex,Kabiezes,0
41023,MB,carnav-alg-sa-16.pex,Basauri,1
41024,MB,carnav-alg-sa-16.pex,Kabiezes,0
41050,MB,carnav-alg-sa-16.pex,Etxebarri,1
41051,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41052,MB,carnav-alg-sa-16.pex,Etxebarri,1
41053,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41054,MB,carnav-alg-sa-16.pex,Etxebarri,1
41055,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41056,MB,carnav-alg-sa-16.pex,Etxebarri,1
41057,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41058,MB,carnav-alg-sa-16.pex,Etxebarri,1
41059,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41060,MB,carnav-alg-sa-16.pex,Etxebarri,1
41061,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41062,MB,carnav-alg-sa-16.pex,Etxebarri,1
41063,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41064,MB,carnav-alg-sa-16.pex,Etxebarri,1
41065,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41066,MB,carnav-alg-sa-16.pex,Etxebarri,1
41067,MB,carnav-alg-sa-16.pex,Etxebarri,1
41068,MB,carnav-alg-sa-16.pex,Larrabasterra,0
41069,MB,carnav-alg-sa-16.pex,Etxebarri,1
41025,MB,carnav-alg-sa-16.pex,Basauri,1
41070,MB,carnav-alg-sa-16.pex,Larrabasterra,0
41071,MB,carnav-alg-sa-16.pex,Etxebarri,1
41072,MB,carnav-alg-sa-16.pex,Etxebarri,1
41073,MB,carnav-alg-sa-16.pex,Sopela,0
41074,MB,carnav-alg-sa-16.pex,Sopela,0
41075,MB,carnav-alg-sa-16.pex,Etxebarri,1
41026,MB,carnav-alg-sa-16.pex,Kabiezes,0
41027,MB,carnav-alg-sa-16.pex,Basauri,1
41077,MB,carnav-alg-sa-16.pex,Sopela,0
41078,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41079,MB,carnav-alg-sa-16.pex,Etxebarri,1
41080,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41082,MB,carnav-alg-sa-16.pex,Sopela,0
41083,MB,carnav-alg-sa-16.pex,Etxebarri,1
41084,MB,carnav-alg-sa-16.pex,Sopela,0
41085,MB,carnav-alg-sa-16.pex,Etxebarri,1
41086,MB,carnav-alg-sa-16.pex,Sopela,0
41087,MB,carnav-alg-sa-16.pex,Etxebarri,1
41088,MB,carnav-alg-sa-16.pex,Sopela,0
41089,MB,carnav-alg-sa-16.pex,Etxebarri,1
41090,MB,carnav-alg-sa-16.pex,Sopela,0
41091,MB,carnav-alg-sa-16.pex,Etxebarri,1
41092,MB,carnav-alg-sa-16.pex,Sopela,0
41093,MB,carnav-alg-sa-16.pex,Sopela,0
41094,MB,carnav-alg-sa-16.pex,Etxebarri,1
41095,MB,carnav-alg-sa-16.pex,Sopela,0
41096,MB,carnav-alg-sa-16.pex,Etxebarri,1
41097,MB,carnav-alg-sa-16.pex,Sopela,0
41098,MB,carnav-alg-sa-16.pex,Etxebarri,1
41099,MB,carnav-alg-sa-16.pex,Etxebarri,1
41100,MB,carnav-alg-sa-16.pex,Sopela,0
41101,MB,carnav-alg-sa-16.pex,Etxebarri,1
41102,MB,carnav-alg-sa-16.pex,Sopela,0
41103,MB,carnav-alg-sa-16.pex,Etxebarri,1
41104,MB,carnav-alg-sa-16.pex,Etxebarri,1
41028,MB,carnav-alg-sa-16.pex,Kabiezes,0
41029,MB,carnav-alg-sa-16.pex,Basauri,1
41030,MB,carnav-alg-sa-16.pex,Kabiezes,0
41031,MB,carnav-alg-sa-16.pex,Basauri,1
41032,MB,carnav-alg-sa-16.pex,Kabiezes,0
41033,MB,carnav-alg-sa-16.pex,Basauri,1
41034,MB,carnav-alg-sa-16.pex,Kabiezes,0
41035,MB,carnav-alg-sa-16.pex,Basauri,1
41036,MB,carnav-alg-sa-16.pex,Kabiezes,0
41037,MB,carnav-alg-sa-16.pex,Basauri,1
41038,MB,carnav-alg-sa-16.pex,Kabiezes,0
41039,MB,carnav-alg-sa-16.pex,Basauri,1
41040,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41041,MB,carnav-alg-sa-16.pex,Etxebarri,1
41042,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41043,MB,carnav-alg-sa-16.pex,Etxebarri,1
41044,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
41045,MB,carnav-alg-sa-16.pex,Sopela,0
41046,MB,carnav-alg-sa-16.pex,Sopela,0
41047,MB,carnav-alg-sa-16.pex,Etxebarri,1
41048,MB,carnav-alg-sa-16.pex,Etxebarri,1
41049,MB,carnav-alg-sa-16.pex,Ibarbengoa,0
39778,MB,carnavaldo-16.pex,Kabiezes,0
39779,MB,carnavaldo-16.pex,Basauri,1
39780,MB,carnavaldo-16.pex,Kabiezes,0
39781,MB,carnavaldo-16.pex,Basauri,1
39782,MB,carnavaldo-16.pex,Kabiezes,0
39783,MB,carnavaldo-16.pex,Basauri,1
39784,MB,carnavaldo-16.pex,Kabiezes,0
39785,MB,carnavaldo-16.pex,Etxebarri,1
39786,MB,carnavaldo-16.pex,Sopela,0
39787,MB,carnavaldo-16.pex,Sopela,0
39788,MB,carnavaldo-16.pex,Etxebarri,1
39789,MB,carnavaldo-16.pex,Sopela,0
39790,MB,carnavaldo-16.pex,Etxebarri,1
39791,MB,carnavaldo-16.pex,Sopela,0
39792,MB,carnavaldo-16.pex,Etxebarri,1
39793,MB,carnavaldo-16.pex,Sopela,0
39794,MB,carnavaldo-16.pex,Etxebarri,1
39795,MB,carnavaldo-16.pex,Sopela,0
39796,MB,carnavaldo-16.pex,Etxebarri,1
39768,MB,carnavaldo-16.pex,Kabiezes,0
