trip_id,start_time,end_time,headway_secs
99352,07:00:00,23:00:00,3600
99353,07:00:00,23:00:00,3600
99356,06:45:00,21:45:00,3600
99357,06:45:00,21:45:00,3600
99358,06:45:00,21:45:00,3600
99359,06:45:00,21:45:00,3600
99360,07:10:00,23:10:00,3600
99361,07:10:00,23:10:00,3600
99362,07:00:00,23:00:00,3600
99363,07:00:00,23:00:00,3600
99433,07:00:00,22:40:00,1200
99434,07:40:00,22:40:00,3600
99436,06:40:00,22:00:00,1200
99437,07:40:00,22:40:00,3600
99438,06:00:00,22:20:00,1200
99488,06:45:00,22:45:00,3600
99489,06:45:00,22:45:00,3600
99490,07:20:00,22:20:00,3600
99491,07:20:00,22:20:00,3600
99554,07:30:00,23:30:00,3600
99555,07:30:00,23:30:00,3600
99558,07:00:00,23:00:00,3600
99559,07:00:00,23:00:00,3600
99560,07:30:00,22:30:00,3600
99561,07:30:00,22:30:00,3600
99562,08:10:00,23:10:00,3600
99563,08:10:00,23:10:00,3600
99598,07:35:00,22:35:00,3600
99599,09:35:00,22:35:00,3600
99627,08:00:00,21:00:00,1800
99682,05:45:00,22:25:00,1200
99688,06:25:00,22:25:00,1200
99698,07:20:00,22:35:00,900
99699,07:40:00,23:20:00,1200
99706,07:45:00,23:15:00,1800
99707,07:35:00,22:35:00,3600
99708,06:35:00,21:05:00,1800
99709,07:35:00,22:35:00,3600
99710,07:00:00,23:00:00,3600
99733,07:15:00,23:15:00,3600
99740,05:10:00,24:00:00,3600
99741,06:25:00,22:55:00,1800
99812,06:00:00,23:00:00,3600
99813,08:00:00,23:00:00,3600
99814,06:00:00,23:00:00,3600
99815,08:00:00,23:00:00,3600
99816,07:30:00,22:30:00,3600
99817,09:30:00,22:30:00,3600
99818,06:55:00,23:25:00,1800
99819,08:25:00,23:25:00,3600
99820,06:40:00,23:00:00,1200
99821,07:00:00,23:00:00,1800
99823,09:30:00,23:30:00,1800
99824,06:40:00,23:00:00,1200
99825,07:00:00,23:00:00,1800
99827,09:30:00,23:30:00,1800
99828,06:30:00,23:30:00,3600
99829,07:30:00,23:30:00,3600
99855,10:00:00,21:30:00,1800
99972,06:30:00,22:30:00,3600
99973,08:30:00,22:30:00,3600
100046,07:00:00,23:30:00,1800
100059,06:30:00,23:30:00,3600
100060,07:30:00,23:30:00,3600
100086,06:20:00,22:20:00,1800
100087,07:00:00,23:00:00,3600
100088,09:00:00,23:00:00,3600
100089,06:40:00,22:10:00,1800
100091,07:10:00,23:10:00,3600
100092,08:10:00,23:10:00,3600
100093,06:00:00,22:30:00,1800
100094,05:50:00,22:50:00,1800
100096,06:25:00,23:25:00,3600
100097,07:50:00,22:50:00,3600
100098,05:50:00,22:50:00,1800
100100,06:25:00,23:25:00,3600
100101,07:50:00,22:50:00,3600
100102,06:25:00,22:25:00,3600
100103,09:10:00,22:10:00,3600
100130,08:00:00,23:30:00,1800
100131,07:00:00,23:30:00,1800
100132,08:00:00,23:30:00,1800
100133,07:05:00,22:05:00,3600
100183,07:30:00,22:30:00,3600
100184,06:30:00,22:30:00,3600
100185,07:30:00,22:30:00,3600
100287,06:50:00,21:50:00,3600
100288,08:05:00,21:05:00,3600
100311,06:55:00,20:55:00,3600
100312,08:30:00,20:30:00,3600
100313,07:00:00,21:00:00,3600
100314,08:00:00,21:00:00,3600
100315,08:10:00,21:10:00,3600
100316,07:00:00,21:00:00,3600
100317,08:00:00,21:00:00,3600
100318,08:10:00,21:10:00,3600
100319,05:30:00,22:05:00,3600
100320,05:30:00,22:05:00,3600
100321,05:30:00,22:05:00,3600
100322,05:30:00,22:05:00,3600
100354,07:30:00,22:30:00,3600
100355,09:30:00,23:30:00,3600
100427,06:00:00,22:00:00,3600
100428,08:00:00,23:00:00,3600
100429,06:00:00,22:00:00,3600
100476,06:45:00,21:45:00,3600
100477,08:15:00,22:15:00,3600
100495,07:40:00,22:40:00,3600
100496,08:40:00,22:40:00,3600
100497,07:10:00,23:10:00,3600
100499,08:10:00,23:10:00,3600
100500,07:10:00,23:10:00,3600
100502,08:10:00,23:10:00,3600
100503,06:15:00,23:15:00,3600
100504,07:15:00,23:15:00,3600
100533,07:30:00,23:00:00,1800
100536,07:30:00,23:00:00,1800
100537,08:00:00,23:00:00,1800
100538,06:10:00,21:10:00,3600
100553,07:05:00,23:05:00,3600
100554,09:05:00,23:05:00,3600
100572,06:30:00,23:30:00,3600
100573,07:30:00,23:30:00,3600
100574,06:35:00,21:05:00,1800
100575,08:00:00,23:00:00,3600
100576,06:00:00,22:00:00,3600
100577,08:00:00,23:00:00,3600
100586,06:40:00,22:40:00,3600
100587,07:40:00,22:40:00,3600
100588,07:00:00,22:00:00,3600
100597,07:00:00,20:30:00,1800
100601,06:30:00,23:15:00,600
100602,06:45:00,08:45:00,1200
100603,08:25:00,23:15:00,600
100606,00:15:00,02:15:00,1800
100609,00:15:00,06:45:00,1800
100695,06:00:00,23:00:00,3600
100696,08:00:00,23:00:00,3600
100697,06:00:00,23:00:00,3600
100698,08:00:00,23:00:00,3600
100702,08:50:00,22:50:00,3600
100703,06:55:00,23:25:00,1800
100704,07:55:00,23:55:00,3600
100705,06:20:00,22:40:00,1200
100706,06:30:00,23:00:00,1800
100707,08:00:00,23:00:00,1800
100708,08:20:00,23:20:00,3600
100709,06:20:00,22:40:00,1200
100710,06:30:00,23:00:00,1800
100711,08:00:00,23:00:00,1800
100712,08:20:00,23:20:00,3600
100716,06:30:00,23:30:00,3600
100717,07:30:00,23:30:00,3600
100961,06:00:00,22:20:00,1200
100966,06:20:00,22:20:00,1200
101001,08:30:00,22:50:00,1200
101022,07:00:00,22:00:00,3600
101023,09:00:00,23:00:00,3600
101024,05:25:00,22:25:00,3600
101025,06:25:00,22:25:00,3600
101033,05:25:00,22:25:00,3600
101034,06:25:00,22:25:00,3600
101064,06:45:00,14:45:00,3600
101066,15:45:00,21:45:00,3600
101067,06:45:00,21:45:00,3600
101082,06:50:00,23:50:00,3600
101083,07:50:00,23:50:00,3600
101087,06:15:00,22:15:00,900
101088,07:20:00,22:40:00,1200
101099,08:00:00,23:00:00,1800
101108,06:50:00,21:50:00,1800
101110,07:10:00,23:10:00,3600
101122,07:05:00,22:35:00,1800
101147,06:45:00,22:45:00,3600
101150,05:45:00,22:45:00,3600
101151,07:45:00,22:45:00,3600
101187,07:00:00,23:00:00,3600
101188,09:00:00,21:20:00,1200
101224,07:00:00,21:00:00,3600
101225,09:30:00,21:30:00,7200
101226,05:50:00,21:50:00,3600
101229,07:50:00,21:50:00,3600
101232,07:50:00,21:50:00,3600
101234,05:50:00,21:50:00,3600
101256,06:15:00,22:15:00,1800
101257,07:00:00,23:00:00,3600
101258,08:00:00,23:00:00,3600
101259,06:30:00,22:30:00,1800
101260,06:30:00,23:30:00,3600
101261,07:30:00,23:30:00,3600
101262,07:15:00,21:45:00,1800
101263,06:10:00,23:10:00,1800
101264,06:40:00,23:10:00,1800
101265,07:30:00,23:30:00,3600
101266,06:10:00,23:10:00,1800
101267,06:40:00,23:10:00,1800
101268,07:30:00,23:30:00,3600
101269,06:30:00,22:30:00,3600
101271,08:00:00,22:20:00,1200
101318,07:15:00,22:15:00,3600
101319,08:45:00,22:45:00,3600
101332,07:15:00,20:15:00,1800
101403,07:50:00,21:50:00,3600
101406,07:50:00,21:50:00,3600
101411,07:00:00,23:00:00,3600
101413,07:00:00,23:00:00,3600
101420,06:20:00,22:20:00,3600
101421,07:20:00,22:20:00,3600
101541,07:00:00,18:30:00,1800
101557,06:00:00,23:00:00,3600
101558,07:00:00,23:00:00,3600
101565,06:10:00,21:10:00,3600
101566,07:10:00,21:10:00,3600
101577,05:40:00,20:40:00,3600
101579,06:40:00,21:40:00,3600
101583,05:40:00,20:40:00,3600
101585,06:40:00,21:40:00,3600
101629,06:10:00,21:10:00,3600
101630,08:10:00,22:10:00,3600
101637,06:10:00,21:10:00,3600
101638,08:10:00,22:10:00,3600
101645,06:10:00,21:10:00,3600
101646,08:10:00,22:10:00,3600
101666,06:55:00,21:55:00,3600
101667,08:55:00,21:55:00,3600
101683,06:55:00,21:55:00,3600
101684,08:55:00,21:55:00,3600
101702,06:40:00,21:40:00,3600
101703,07:40:00,22:40:00,3600
101705,08:15:00,22:15:00,3600
101727,07:00:00,20:30:00,1800
101774,06:00:00,23:00:00,1800
101775,06:30:00,23:00:00,1800
101779,06:00:00,22:20:00,1200
101780,06:00:00,23:00:00,1800
101781,06:30:00,23:00:00,1800
101785,06:00:00,22:20:00,1200
101786,06:00:00,23:00:00,1800
101787,06:30:00,23:00:00,1800
101792,07:30:00,22:30:00,3600
101793,06:30:00,22:30:00,3600
101794,07:35:00,22:05:00,1800
101795,08:35:00,23:35:00,3600
101797,07:00:00,23:00:00,3600
101799,07:00:00,23:00:00,3600
101801,07:00:00,23:00:00,3600
101804,06:00:00,22:40:00,600
101805,06:45:00,08:45:00,1200
101806,08:25:00,22:45:00,600
101808,22:50:00,30:50:00,1800
101828,15:00:00,23:00:00,3600
101837,15:00:00,23:00:00,3600
101846,15:00:00,23:00:00,3600
103789,07:00:00,23:00:00,3600
103790,07:00:00,23:00:00,3600
103791,06:30:00,21:45:00,900
103792,07:00:00,23:00:00,1800
103793,06:25:00,23:55:00,1800
103794,07:20:00,23:50:00,1800
103795,07:00:00,24:00:00,3600
103800,07:10:00,22:10:00,3600
103801,07:10:00,22:10:00,3600
103802,07:30:00,21:50:00,1200
103803,07:30:00,21:50:00,1200
103804,07:30:00,21:50:00,1200
103805,07:30:00,21:50:00,1200
103806,07:50:00,22:50:00,3600
103817,06:30:00,22:00:00,1800
103818,07:00:00,23:00:00,3600
103819,07:15:00,23:15:00,1800
103820,07:15:00,23:15:00,3600
103821,06:30:00,22:00:00,1800
103822,07:00:00,23:00:00,3600
103823,07:15:00,23:15:00,1800
103824,07:15:00,23:15:00,3600
148982,06:40:00,23:00:00,1200
148983,07:00:00,23:00:00,1800
148984,08:30:00,23:30:00,1800
148985,06:40:00,23:00:00,1200
148986,07:00:00,23:00:00,1800
148987,08:30:00,23:30:00,1800
148988,06:30:00,23:30:00,3600
148989,07:30:00,23:30:00,3600
148990,06:30:00,23:30:00,3600
148991,07:30:00,23:30:00,3600
149009,07:00:00,23:00:00,1200
149010,06:05:00,22:05:00,3600
149011,07:15:00,23:45:00,1800
149012,06:05:00,22:05:00,3600
149013,07:15:00,23:45:00,1800
149019,07:00:00,23:00:00,1200
149020,06:05:00,22:05:00,3600
149021,07:15:00,23:45:00,1800
149022,06:05:00,22:05:00,3600
149023,07:15:00,23:45:00,1800
149029,07:00:00,23:00:00,1200
149030,06:05:00,22:05:00,3600
149031,07:15:00,23:45:00,1800
149032,06:05:00,22:05:00,3600
149033,07:15:00,23:45:00,1800
149034,06:00:00,22:00:00,3600
149035,08:00:00,23:00:00,3600
185008,07:30:00,24:30:00,3600
185009,06:05:00,23:05:00,1800
185010,06:10:00,23:10:00,1800
185012,07:45:00,22:45:00,3600
185047,07:00:00,23:00:00,3600
185055,07:30:00,22:30:00,3600
185070,08:00:00,22:00:00,3600
185071,08:00:00,22:00:00,3600
185091,08:00:00,22:00:00,3600
185092,08:00:00,22:00:00,3600
185102,07:30:00,22:30:00,3600
185103,06:30:00,22:30:00,3600
186228,06:55:00,12:55:00,3600
186229,12:55:00,20:55:00,7200
186230,07:00:00,14:00:00,3600
186231,14:00:00,20:00:00,7200
186232,07:00:00,09:00:00,1800
186233,14:00:00,15:00:00,3600
186234,17:30:00,18:30:00,1800
186235,14:00:00,15:00:00,1800
186244,09:30:00,20:30:00,1800
186253,10:05:00,21:05:00,1800
